verified,musicOriginal,hashtags,mentions,duration,hour,dayOfTheWeek,shareCount,commentCount,playCount,count_mean
0,1,0,0,29,0,3,6108,724,218500,218500.0
0,1,0,0,29,7,5,57,588,232200,232200.0
0,1,0,0,30,10,7,1811,278,441300,441300.0
0,1,0,0,34,6,5,3,5,21500,21500.0
0,1,0,0,37,0,2,18,17,58500,58500.0
0,1,0,0,41,7,2,122,15,9247,9247.0
0,1,0,0,53,15,3,5,28,49400,49400.0
0,1,0,0,56,22,2,274,203,59400,59400.0
0,1,0,0,59,1,3,1146,1238,192700,192700.0
0,1,0,0,59,16,6,533,709,75900,75900.0
0,1,0,1,5,22,6,11600,3770,2000000,2000000.0
0,1,0,1,11,1,3,1817,936,838100,838100.0
0,1,0,1,11,16,7,257,416,419500,419500.0
0,1,0,1,13,13,3,1,18,35900,35900.0
0,1,0,1,14,22,3,34,388,101800,101800.0
0,1,0,1,15,15,3,48,141,127900,127900.0
0,1,0,1,15,15,6,13200,2361,1600000,1600000.0
0,1,0,1,15,18,1,69,568,89100,89100.0
0,1,0,1,16,6,4,20,209,41700,41700.0
0,1,0,1,16,14,7,2900,1640,1500000,1500000.0
0,1,0,1,16,21,7,725,242,102100,102100.0
0,1,0,1,29,15,4,1107,1164,1500000,1500000.0
0,1,0,1,32,17,3,152,231,60700,60700.0
0,1,0,1,34,3,2,101,569,64400,64400.0
0,1,0,1,45,18,4,96,352,525900,525900.0
0,1,0,1,48,19,1,139,525,317500,317500.0
0,1,0,1,58,15,5,8,886,59000,59000.0
0,1,0,1,59,3,6,8,58,24900,24900.0
0,1,0,2,15,22,6,729,490,582400,582400.0
0,1,0,4,10,11,1,36,12,21600,21600.0
0,1,1,0,7,0,5,7,37,211800,211800.0
0,1,1,0,8,7,3,4682,1225,4200000,4200000.0
0,1,1,0,8,18,1,29,505,80400,80400.0
0,1,1,0,9,11,2,198,257,43700,43700.0
0,1,1,0,9,13,7,2,52,11400,11400.0
0,1,1,0,9,15,6,201,354,81200,81200.0
0,1,1,0,9,18,3,29,549,62000,62000.0
0,1,1,0,10,12,6,13400,18600,37900000,37900000.0
0,1,1,0,10,13,3,0,18,10300,10300.0
0,1,1,0,10,14,5,0,33,45300,45300.0
0,1,1,0,10,17,3,29,10,259400,259400.0
0,1,1,0,13,10,1,717,348,146100,146100.0
0,1,1,0,13,14,4,607,0,791000,791000.0
0,1,1,0,13,14,7,362,141,162900,162900.0
0,1,1,0,13,16,1,932,40,150100,150100.0
0,1,1,0,13,18,6,224,186,66600,66600.0
0,1,1,0,13,20,6,20,52,47700,47700.0
0,1,1,0,13,21,4,388,155,52300,52300.0
0,1,1,0,13,21,7,368,289,95900,95900.0
0,1,1,0,15,0,4,112,106,119600,119600.0
0,1,1,0,18,21,2,182,62,117800,117800.0
0,1,1,0,22,11,7,5,2,25100,25100.0
0,1,1,0,37,22,3,758,134,383600,383600.0
0,1,1,0,54,9,5,0,23,7037,7037.0
0,1,1,1,5,11,6,6,16,35900,35900.0
0,1,1,1,15,14,3,9,8,50500,50500.0
0,1,1,1,15,20,1,6,12,27200,27200.0
0,1,1,1,15,23,7,77,75,136100,136100.0
0,1,1,1,16,22,3,5317,6389,1100000,1100000.0
0,1,1,2,11,13,1,377,224,84100,84100.0
0,1,1,2,15,2,4,12,105,60700,60700.0
0,1,2,0,6,0,7,1500,248,360000,360000.0
0,1,2,0,6,21,5,74,35,212700,212700.0
0,1,2,0,8,15,1,142,517,351500,351500.0
0,1,2,0,8,16,7,5,163,76500,76500.0
0,1,2,0,8,19,2,10,6,32300,32300.0
0,1,2,0,9,20,7,175,87,130100,130100.0
0,1,2,0,9,21,1,457,80,267300,267300.0
0,1,2,0,10,9,7,11,91,219700,219700.0
0,1,2,0,10,21,1,84,321,345200,345200.0
0,1,2,0,11,17,2,567,1756,18000,18000.0
0,1,2,0,12,2,6,1901,973,1400000,1400000.0
0,1,2,0,12,3,6,6,34,86500,86500.0
0,1,2,0,13,2,5,91,58,45900,45900.0
0,1,2,0,13,10,2,71,25,113800,113800.0
0,1,2,0,13,14,4,84,93,67200,67200.0
0,1,2,0,13,16,7,152,111,129300,129300.0
0,1,2,0,13,19,1,387,424,1700000,1700000.0
0,1,2,0,13,19,5,35,390,53600,53600.0
0,1,2,0,14,16,1,110900,12200,68700000,68700000.0
0,1,2,0,15,2,5,486,528,1100000,1100000.0
0,1,2,0,15,10,2,217,39,67800,67800.0
0,1,2,0,15,11,7,973,569,261000,261000.0
0,1,2,0,15,13,2,28,168,61500,61500.0
0,1,2,0,15,14,6,40,80,45500,45500.0
0,1,2,0,15,17,1,25,78,47200,47200.0
0,1,2,0,15,23,5,27,121,38500,38500.0
0,1,2,0,19,13,3,7,4,22200,22200.0
0,1,2,0,20,11,5,88,232,46800,46800.0
0,1,2,0,20,12,7,535,739,1000000,1000000.0
0,1,2,0,22,3,1,1688,1777,3600000,3600000.0
0,1,2,0,22,7,7,198,52,115300,115300.0
0,1,2,0,22,18,4,35,16,9725,9725.0
0,1,2,0,25,19,2,13,174,322100,322100.0
0,1,2,0,29,19,4,56,128,35500,35500.0
0,1,2,0,59,0,3,2179,988,694100,694100.0
0,1,2,0,59,1,3,354,568,137200,137200.0
0,1,2,0,59,13,3,337,900,78100,78100.0
0,1,2,1,9,14,4,33,344,167500,167500.0
0,1,2,1,9,20,2,6206,745,889700,889700.0
0,1,2,1,10,14,6,68,142,348600,348600.0
0,1,2,1,12,14,7,13,56,116600,116600.0
0,1,2,1,15,16,3,439,751,734700,734700.0
0,1,2,1,15,21,5,11,46,50500,50500.0
0,1,2,1,17,22,1,459,533,723100,723100.0
0,1,2,1,35,21,5,9,38,46100,46100.0
0,1,2,1,55,17,3,20,184,73300,73300.0
0,1,2,2,15,10,7,2,6,9373,9373.0
0,1,3,0,5,1,5,2086,329,1300000,1300000.0
0,1,3,0,8,4,1,12,36,105700,105700.0
0,1,3,0,8,13,2,370,214,494800,494800.0
0,1,3,0,8,13,3,41,39,51800,51800.0
0,1,3,0,8,13,4,338,159,65900,65900.0
0,1,3,0,8,14,4,33,10,41200,41200.0
0,1,3,0,8,14,7,59,134,70800,70800.0
0,1,3,0,8,14,7,82,12,246700,246700.0
0,1,3,0,8,19,3,42,11,43600,43600.0
0,1,3,0,8,23,4,63,100,78000,78000.0
0,1,3,0,9,11,6,270,161,165800,165800.0
0,1,3,0,9,14,3,496,459,102500,102500.0
0,1,3,0,9,19,7,10,10,76800,76800.0
0,1,3,0,9,21,6,112,117,94200,94200.0
0,1,3,0,10,18,3,115,216,47400,47400.0
0,1,3,0,10,23,3,317,256,190200,190200.0
0,1,3,0,11,20,4,212,183,53000,53000.0
0,1,3,0,12,16,2,111,274,72200,72200.0
0,1,3,0,12,17,1,48,60,81800,81800.0
0,1,3,0,13,10,6,8,13,55600,55600.0
0,1,3,0,13,15,1,94,65,46000,46000.0
0,1,3,0,13,15,3,3392,668,449300,449300.0
0,1,3,0,13,19,3,23,131,82300,82300.0
0,1,3,0,13,19,7,32,104,62900,62900.0
0,1,3,0,14,13,4,1666,183,748900,748900.0
0,1,3,0,14,14,3,69,12,1853,1853.0
0,1,3,0,15,0,3,2960,331,495800,495800.0
0,1,3,0,15,1,3,134,185,48600,48600.0
0,1,3,0,15,1,7,45,14,65200,65200.0
0,1,3,0,15,5,3,25,48,35000,35000.0
0,1,3,0,15,9,1,87,52,3400000,3400000.0
0,1,3,0,15,12,2,27,32,39900,39900.0
0,1,3,0,15,12,4,716,94,95800,95800.0
0,1,3,0,15,14,3,133,176,196900,196900.0
0,1,3,0,15,15,3,1,2,3854,3854.0
0,1,3,0,15,15,6,70,160,72100,72100.0
0,1,3,0,15,16,1,14,86,69000,69000.0
0,1,3,0,21,1,7,8,54,88300,88300.0
0,1,3,0,26,14,7,97,351,659700,659700.0
0,1,3,0,26,18,5,328,115,189700,189700.0
0,1,3,0,30,6,1,91,747,202400,202400.0
0,1,3,0,30,23,3,799,293,369700,369700.0
0,1,3,0,33,12,5,1809,139,154200,154200.0
0,1,3,0,44,19,7,213,513,72100,72100.0
0,1,3,0,55,12,7,900,730,198300,198300.0
0,1,3,1,5,18,2,0,19,22000,22000.0
0,1,3,1,6,13,5,15,14,66400,66400.0
0,1,3,1,8,15,1,88,515,183900,183900.0
0,1,3,1,8,19,6,7,88,35900,35900.0
0,1,3,1,10,11,3,452,155,183300,183300.0
0,1,3,1,15,11,7,167,191,122000,122000.0
0,1,3,1,15,12,4,22,63,28700,28700.0
0,1,3,1,15,17,3,8,147,35200,35200.0
0,1,3,1,17,22,3,114,469,166600,166600.0
0,1,3,1,33,15,4,934,535,245100,245100.0
0,1,3,1,52,21,3,1013,394,607700,607700.0
0,1,3,3,13,7,5,39,90,47400,47400.0
0,1,4,0,5,1,4,26,40,32800,32800.0
0,1,4,0,6,12,3,54,14,58200,58200.0
0,1,4,0,6,20,2,280,98,147600,147600.0
0,1,4,0,7,1,5,4,65,24800,24800.0
0,1,4,0,7,17,2,37,123,376400,376400.0
0,1,4,0,7,17,4,12,25,41800,41800.0
0,1,4,0,7,18,5,26,24,70800,70800.0
0,1,4,0,8,11,3,13700,0,19100000,19100000.0
0,1,4,0,8,14,7,106,73,57200,57200.0
0,1,4,0,8,19,1,636,173,1400000,1400000.0
0,1,4,0,8,20,4,8,18,45900,45900.0
0,1,4,0,9,0,6,58,476,87400,87400.0
0,1,4,0,9,10,5,16,207,62800,62800.0
0,1,4,0,9,11,3,37,98,50600,50600.0
0,1,4,0,9,13,2,84,45,94300,94300.0
0,1,4,0,9,17,6,13,7,27900,27900.0
0,1,4,0,9,18,2,101,46,47200,47200.0
0,1,4,0,9,20,4,74,252,42300,42300.0
0,1,4,0,10,17,5,43,101,64800,64800.0
0,1,4,0,11,19,3,30,236,228100,228100.0
0,1,4,0,11,20,4,34,57,64400,64400.0
0,1,4,0,11,21,5,1968,300,914000,914000.0
0,1,4,0,13,0,3,354,240,61200,61200.0
0,1,4,0,13,12,2,119,84,78700,78700.0
0,1,4,0,13,12,6,17,38,83200,83200.0
0,1,4,0,13,14,5,17,93,40200,40200.0
0,1,4,0,13,16,1,29,32,58600,58600.0
0,1,4,0,14,2,5,632,133,99500,99500.0
0,1,4,0,14,11,7,800,297,153100,153100.0
0,1,4,0,14,16,1,117,238,103300,103300.0
0,1,4,0,14,17,6,168,354,99900,99900.0
0,1,4,0,14,19,5,6,11,65800,65800.0
0,1,4,0,14,23,1,127,1600,161400,161400.0
0,1,4,0,15,0,1,78,33,65200,65200.0
0,1,4,0,15,0,4,206,488,178400,178400.0
