verified,diggCount,musicOriginal,hashtags,mentions,duration,hour,dayOfTheWeek,shareCount,commentCount,playCount,count_mean,z_score
0,9403,1,9,0,15,16,6,65,1049,112100,112100.0,-0.20156098016771018
0,9469,0,10,1,10,18,3,147,304,209700,209700.0,-0.14890661431786337
0,9490,1,1,0,37,22,3,758,134,383600,383600.0,-0.05508905057515475
0,9504,1,10,1,28,2,1,11,112,78300,78300.0,-0.21979579129193993
0,9522,0,5,1,44,1,3,75,273,64000,64000.0,-0.2275105190752679
0,9570,0,4,0,42,13,7,31,83,71500,71500.0,-0.22346433317492106
0,9588,1,0,0,11,14,7,105,119,104400,104400.0,-0.20571506435873294
0,9588,1,1,1,15,23,7,77,75,136100,136100.0,-0.18861318528660032
0,9630,1,10,1,55,21,2,58,65,118700,118700.0,-0.19800033657540497
0,9773,1,1,2,15,2,4,12,105,60700,60700.0,-0.2292908408714205
0,9782,1,4,0,54,20,3,32,144,65300,65300.0,-0.22680918018587445
0,9881,1,11,0,8,18,3,77,203,86600,86600.0,-0.21531801222888944
0,9902,1,5,0,7,19,2,100,151,57000,57000.0,-0.23128695924892495
0,9950,0,1,0,13,21,4,2014,52,133100,133100.0,-0.19023165964673905
0,10000,0,11,1,54,15,4,18,112,81900,81900.0,-0.21785362205977343
0,10000,1,3,0,12,16,2,111,274,72200,72200.0,-0.22308668915755536
0,10200,0,10,0,16,22,3,55,297,95200,95200.0,-0.21067838572982506
0,10300,1,7,1,9,1,1,173,532,66900,66900.0,-0.22594599386046713
0,10400,1,3,0,30,6,1,91,747,202400,202400.0,-0.1528449019275343
0,10400,1,15,0,28,2,6,364,126,54000,54000.0,-0.23290543360906368
0,10500,1,14,0,10,21,5,605,132,49300,49300.0,-0.23544104343994768
0,10600,0,0,0,10,19,2,157,161,141500,141500.0,-0.1856999314383506
0,10600,0,1,0,13,16,7,313,195,109200,109200.0,-0.20312550538251095
0,10600,1,8,0,58,13,3,162,101,145100,145100.0,-0.18375776220618412
0,10700,1,6,0,11,16,1,104,209,90700,90700.0,-0.21310609727003316
0,10900,1,2,0,8,16,7,5,163,76500,76500.0,-0.22076687590802316
0,11000,1,1,0,13,16,1,932,40,150100,150100.0,-0.1810603049392862
0,11000,1,3,0,9,21,6,112,117,94200,94200.0,-0.21121787718320464
0,11100,1,0,0,12,15,5,20,491,143000,143000.0,-0.18489069425828122
0,11100,1,3,1,15,11,7,167,191,122000,122000.0,-0.19622001477925236
0,11100,1,5,0,7,3,1,59,145,148300,148300.0,-0.18203138955536946
0,11200,0,6,0,16,13,7,447,370,139500,139500.0,-0.18677891434510974
0,11200,1,0,0,15,10,6,57,213,124000,124000.0,-0.1951410318724932
0,11300,1,0,1,32,17,3,152,231,60700,60700.0,-0.2292908408714205
0,11300,1,7,0,8,16,2,27,127,155600,155600.0,-0.17809310194569855
0,11400,0,4,0,14,16,3,45,294,68100,68100.0,-0.22529860411641162
0,11400,1,3,0,15,16,1,14,86,69000,69000.0,-0.22481306180837
0,11500,0,8,0,21,15,7,33,212,47500,47500.0,-0.23641212805603093
0,11500,1,0,0,59,16,6,533,709,75900,75900.0,-0.22109057078005093
0,11500,1,0,1,14,22,3,34,388,101800,101800.0,-0.20711774213751985
0,11600,1,7,0,11,10,6,96,27,103600,103600.0,-0.2061466575214366
0,11700,0,6,0,41,19,4,87,77,175100,175100.0,-0.16757301860479676
0,11700,1,10,2,12,17,5,12,94,128900,128900.0,-0.19249752375093326
0,11700,1,11,0,12,18,6,830,157,73700,73700.0,-0.222277451977486
0,11800,1,4,0,9,0,6,58,476,87400,87400.0,-0.21488641906618577
0,11800,1,10,1,12,21,2,220,156,49200,49200.0,-0.23549499258528564
0,11900,1,0,0,20,12,3,15,21,134900,134900.0,-0.1892605750306558
0,11900,1,2,0,10,9,7,11,91,219700,219700.0,-0.14351169978406758
0,11900,1,3,0,15,9,1,87,52,3400000,3400000.0,1.5722329693990045
0,12000,0,0,1,15,14,3,220,64,143000,143000.0,-0.18489069425828122
0,12000,1,9,5,7,17,7,269,942,170500,170500.0,-0.17005467929034282
0,12100,0,11,1,7,22,3,168,77,95700,95700.0,-0.21040864000313528
0,12100,1,3,0,9,11,6,270,161,165800,165800.0,-0.17259028912122684
0,12100,1,6,0,15,19,4,76,119,78800,78800.0,-0.21952604556525013
0,12200,0,5,0,12,15,4,1926,195,285700,285700.0,-0.10790526386101544
0,12200,1,8,0,20,20,6,223,321,80700,80700.0,-0.21850101180382894
0,12300,0,3,0,15,12,1,173,207,169000,169000.0,-0.17086391647041219
0,12300,1,1,0,13,14,7,362,141,162900,162900.0,-0.1741548143360276
0,12300,1,8,0,18,22,1,79,249,40300,40300.0,-0.2402964665203639
0,12400,1,3,0,13,19,3,23,131,82300,82300.0,-0.21763782547842161
0,12400,1,7,0,7,16,2,127,313,62100,62100.0,-0.22853555283668908
0,12400,1,9,1,13,21,4,66,702,62400,62400.0,-0.22837370540067523
0,12600,0,8,1,30,22,1,12,33,64300,64300.0,-0.227348671639254
0,12600,1,4,0,9,20,4,74,252,42300,42300.0,-0.23921748361360473
0,12600,1,4,0,14,2,5,632,133,99500,99500.0,-0.20835857248029288
0,12600,1,6,0,14,1,3,61,215,53900,53900.0,-0.23295938275440162
0,12600,1,14,0,12,16,7,534,173,54200,54200.0,-0.23279753531838776
0,12700,0,11,0,10,18,7,142,980,297500,297500.0,-0.10153926471113642
0,12700,1,0,0,8,12,6,1222,602,181200,181200.0,-0.16428212073918136
0,12700,1,0,1,16,21,7,725,242,102100,102100.0,-0.20695589470150597
0,12800,0,5,0,10,2,5,18,285,105100,105100.0,-0.20533742034136723
0,12800,1,1,0,13,21,7,368,289,95900,95900.0,-0.21030074171245935
0,12800,1,9,0,15,11,7,287,520,172200,172200.0,-0.16913754381959756
0,12900,1,0,0,13,17,6,197,143,94900,94900.0,-0.21084023316583894
0,12900,1,8,0,30,20,5,128,75,85500,85500.0,-0.21591145282760696
0,13000,1,5,0,59,22,6,349,52,198500,198500.0,-0.15494891859571464
0,13000,1,11,1,10,17,3,21,865,248000,248000.0,-0.12824409165342554
0,13100,0,7,0,28,2,1,190,110,71000,71000.0,-0.22373407890161084
0,13100,1,0,0,8,9,3,4285,1191,311800,311800.0,-0.09382453692780846
0,13200,1,6,0,6,17,4,120,58,83100,83100.0,-0.21720623231571795
0,13300,1,0,1,34,3,2,101,569,64400,64400.0,-0.22729472249391605
0,13300,1,2,0,13,16,7,152,111,129300,129300.0,-0.19228172716958145
0,13400,1,5,0,15,2,5,781,70,123400,123400.0,-0.19546472674452095
0,13400,1,7,0,59,23,6,860,469,89500,89500.0,-0.21375348701408864
0,13500,0,1,0,59,22,3,516,168,76600,76600.0,-0.2207129267626852
0,13500,1,3,0,26,18,5,328,115,189700,189700.0,-0.15969644338545494
0,13500,1,6,1,8,0,7,49,564,143700,143700.0,-0.18451305024091552
0,13600,0,11,0,58,4,2,100,148,127500,127500.0,-0.1932528117856647
0,13600,1,12,0,14,12,1,195,94,207900,207900.0,-0.14987769893394662
0,13700,1,8,0,31,17,5,228,75,65900,65900.0,-0.22648548531384669
0,13800,0,9,0,14,21,1,302,85,201300,201300.0,-0.15343834252625183
0,13800,1,15,0,57,18,4,2114,284,252600,252600.0,-0.12576243096787948
0,14000,1,9,0,18,1,4,111,159,75100,75100.0,-0.22152216394275456
0,14100,0,5,1,21,14,3,733,182,147500,147500.0,-0.18246298271807312
0,14400,0,6,0,8,23,4,99,77,306300,306300.0,-0.09679173992139613
0,14400,0,7,0,15,16,1,769,295,246900,246900.0,-0.12883753225214306
0,14500,1,7,0,13,21,4,470,267,174400,174400.0,-0.1679506626221625
0,14600,0,1,0,13,22,4,260,232,97000,97000.0,-0.2097073011137418
0,14600,1,2,1,9,14,4,33,344,167500,167500.0,-0.17167315365048155
0,14600,1,10,1,19,2,2,82,92,114400,114400.0,-0.20032014982493715
0,14700,0,10,0,57,3,6,287,221,69100,69100.0,-0.22475911266303206
0,14700,1,8,0,23,21,7,63,143,90200,90200.0,-0.21337584299672294
0,14700,1,9,2,57,16,4,121,1112,102900,102900.0,-0.2065243015388023
0,14800,0,5,0,7,15,6,231,125,132300,132300.0,-0.1906632528094427
0,14900,1,0,0,8,19,3,50,33,53500,53500.0,-0.23317517933575346
0,15000,1,5,1,15,17,2,504,276,79500,79500.0,-0.21914840154788442
0,15000,1,6,0,11,17,5,527,50,249400,249400.0,-0.12748880361869414
0,15000,1,9,0,53,6,4,763,689,60700,60700.0,-0.2292908408714205
0,15100,1,10,1,58,23,7,60,99,139100,139100.0,-0.18699471092646158
0,15200,1,9,0,33,20,1,228,126,62300,62300.0,-0.2284276545460132
0,15400,1,4,1,5,4,1,5,26,176500,176500.0,-0.16681773057006535
0,15400,1,10,0,6,14,5,5230,372,818700,818700.0,0.17964368079029966
0,15500,1,3,0,8,13,2,370,214,494800,494800.0,0.004902399040654329
0,15700,1,5,0,24,21,4,231,465,64100,64100.0,-0.22745656992992994
0,15700,1,12,0,58,18,4,125,142,90000,90000.0,-0.21348374128739886
0,15800,0,5,0,9,1,3,1153,81,269900,269900.0,-0.11642922882441277
0,15800,1,10,0,59,2,5,172,233,163400,163400.0,-0.17388506860933783
0,15900,1,0,0,12,12,2,26,77,182800,182800.0,-0.16341893441377403
0,15900,1,3,0,15,14,3,133,176,196900,196900.0,-0.15581210492112196
0,16000,1,3,0,33,12,5,1809,139,154200,154200.0,-0.17884838998042996
0,16100,0,0,0,15,5,4,16,318,154100,154100.0,-0.17890233912576792
